Invoice ID,Product line,Date,Quantity,Shipment_mode,shipping cost,Payment,warehouse_name
575-30-8091,Sports and travel,2019-03-16,8,ExpressAir,7.25,Ewallet,WH1
731-81-9469,Sports and travel,2019-01-23,10,ExpressAir,8.98,Credit card,WH2
280-17-4359,Health and beauty,2019-01-25,10,ExpressAir,9.05,Cash,WH2
338-65-2210,Health and beauty,2019-02-05,10,Special Air  ,5.488,Cash,WH2
488-25-4221,Food and beverages,2019-02-22,1,ExpressAir,3.041,Credit card,WH2
239-10-7476,Home and lifestyle,2019-01-21,6,Special Air  ,6.236,Ewallet,WH1
458-41-1477,Health and beauty,2019-03-08,6,ExpressAir,4.626,Credit card,WH2
685-64-1609,Fashion accessories,2019-02-10,10,ExpressAir,3.014,Ewallet,WH1
568-90-5112,Health and beauty,2019-03-19,4,Regular Air,3.307,Credit card,WH2
262-47-2794,Home and lifestyle,2019-03-06,8,ExpressAir,7.186,Credit card,WH3
238-49-0436,Health and beauty,2019-03-27,8,Regular Air,1.623,Credit card,WH1
608-96-3517,Fashion accessories,2019-03-23,4,ExpressAir,9.154,Credit card,WH3
584-86-7256,Sports and travel,2019-03-11,7,Special Air  ,2.7648,Credit card,WH2
746-94-0204,Fashion accessories,2019-01-29,9,Regular Air,4.162,Credit card,WH1
214-17-6927,Food and beverages,2019-02-07,6,Special Air  ,1.3184,Ewallet,WH2
400-89-4171,Sports and travel,2019-01-28,8,Special Air  ,6.4776,Cash,WH2
782-95-9291,Food and beverages,2019-02-20,5,Special Air  ,7.3832,Credit card,WH1
279-74-2924,Electronic accessories,2019-01-04,1,Regular Air,3.6085,Cash,WH3
307-85-2293,Home and lifestyle,2019-03-07,5,Regular Air,2.514,Ewallet,WH3
743-04-1105,Health and beauty,2019-03-30,9,Regular Air,4.861,Ewallet,WH3
423-57-2993,Sports and travel,2019-03-27,6,ExpressAir,9.339,Ewallet,WH3
894-41-5205,Food and beverages,2019-01-19,8,Special Air  ,3.4544,Credit card,WH2
275-28-0149,Sports and travel,2019-02-25,1,Regular Air,3.1845,Cash,WH1
101-17-6199,Food and beverages,2019-03-13,7,Regular Air,2.2895,Credit card,WH1
423-80-0988,Sports and travel,2019-01-30,2,Special Air  ,6.112,Ewallet,WH2
548-46-9322,Food and beverages,2019-02-20,10,Regular Air,1.995,Credit card,WH3
505-02-0892,Health and beauty,2019-02-25,8,Special Air  ,3.4056,Ewallet,WH3
234-65-2137,Home and lifestyle,2019-01-16,10,Special Air  ,7.6464,Cash,WH2
687-47-8271,Fashion accessories,2019-02-08,10,ExpressAir,9.898,Credit card,WH1
796-32-9050,Food and beverages,2019-01-19,6,ExpressAir,5.128,Cash,WH1
105-31-1824,Sports and travel,2019-02-01,7,Special Air  ,5.5616,Credit card,WH1
249-42-3782,Health and beauty,2019-01-03,5,Regular Air,3.5005,Ewallet,WH1
316-55-4634,Food and beverages,2019-01-26,5,Regular Air,4.0025,Credit card,WH3
733-33-4967,Electronic accessories,2019-03-03,8,Special Air  ,1.668,Cash,WH2
608-27-6295,Electronic accessories,2019-01-19,6,ExpressAir,5.289,Credit card,WH3
414-12-7047,Food and beverages,2019-01-18,8,Special Air  ,1.5832,Ewallet,WH3
827-26-2100,Home and lifestyle,2019-03-21,9,Special Air  ,2.7072,Ewallet,WH1
175-54-2529,Food and beverages,2019-03-03,8,Special Air  ,1.7736,Credit card,WH1
139-52-2867,Fashion accessories,2019-02-13,7,Special Air  ,1.8008,Credit card,WH2
407-63-8975,Food and beverages,2019-03-23,6,Special Air  ,5.9104,Ewallet,WH1
342-65-4817,Health and beauty,2019-01-28,3,Regular Air,4.34,Ewallet,WH2
130-98-8941,Fashion accessories,2019-02-09,7,Special Air  ,5.1408,Cash,WH2
434-83-9547,Food and beverages,2019-01-23,8,Special Air  ,3.0776,Cash,WH2
851-28-6367,Sports and travel,2019-03-23,10,Special Air  ,1.24,Ewallet,WH1
824-88-3614,Health and beauty,2019-01-25,8,Regular Air,1.7155,Ewallet,WH2
586-25-0848,Sports and travel,2019-03-04,7,Regular Air,0.617,Credit card,WH1
895-66-0685,Food and beverages,2019-03-05,3,ExpressAir,1.808,Ewallet,WH3
305-14-0245,Home and lifestyle,2019-03-03,8,Regular Air,4.7245,Ewallet,WH3
732-04-5373,Home and lifestyle,2019-02-08,4,ExpressAir,4.647,Cash,WH3
400-60-7251,Home and lifestyle,2019-02-10,1,Regular Air,3.7035,Ewallet,WH1
593-65-1552,Home and lifestyle,2019-01-28,4,Special Air  ,5.5848,Credit card,WH2
284-34-9626,Home and lifestyle,2019-02-11,3,Regular Air,3.852,Credit card,WH3
437-58-8131,Fashion accessories,2019-01-15,2,Special Air  ,5.8816,Ewallet,WH3
286-43-6208,Food and beverages,2019-03-16,9,Special Air  ,7.024,Cash,WH2
641-43-2399,Home and lifestyle,2019-01-26,4,Special Air  ,2.044,Ewallet,WH3
831-07-6050,Electronic accessories,2019-03-19,5,Regular Air,1.6355,Credit card,WH1
556-86-3144,Fashion accessories,2019-01-13,1,Regular Air,3.7145,Cash,WH2
848-24-9445,Health and beauty,2019-03-26,2,ExpressAir,4.37,Cash,WH2
856-22-8149,Home and lifestyle,2019-03-23,1,ExpressAir,2.529,Ewallet,WH1
699-01-4164,Health and beauty,2019-03-12,4,ExpressAir,4.15,Credit card,WH2
420-11-4919,Food and beverages,2019-02-17,5,ExpressAir,7.139,Credit card,WH2
606-80-4905,Sports and travel,2019-01-29,6,Special Air  ,1.532,Credit card,WH2
542-41-0513,Electronic accessories,2019-03-15,4,Special Air  ,4.5992,Cash,WH3
426-39-2418,Electronic accessories,2019-01-14,7,ExpressAir,6.141,Cash,WH2
875-46-5808,Health and beauty,2019-02-06,10,ExpressAir,2.59,Ewallet,WH3
394-43-4238,Home and lifestyle,2019-02-15,5,Special Air  ,1.4216,Credit card,WH3
749-24-1565,Health and beauty,2019-01-03,9,Special Air  ,1.8424,Ewallet,WH1
672-51-8681,Electronic accessories,2019-01-04,9,Special Air  ,5.332,Credit card,WH2
263-87-5680,Home and lifestyle,2019-03-18,10,Special Air  ,2.2824,Ewallet,WH2
573-58-9734,Fashion accessories,2019-03-28,3,Special Air  ,2.4296,Ewallet,WH3
817-69-8206,Electronic accessories,2019-03-02,9,Regular Air,4.9865,Credit card,WH3
888-02-0338,Electronic accessories,2019-01-25,9,Special Air  ,2.0984,Ewallet,WH1
677-11-0152,Food and beverages,2019-01-16,9,ExpressAir,9.326,Cash,WH2
142-63-6033,Home and lifestyle,2019-03-20,5,Special Air  ,7.3888,Ewallet,WH3
656-16-1063,Sports and travel,2019-01-04,3,Regular Air,2.321,Credit card,WH3
891-58-8335,Sports and travel,2019-03-11,7,Regular Air,1.4805,Cash,WH3
802-43-8934,Home and lifestyle,2019-03-22,1,ExpressAir,1.828,Credit card,WH1
560-30-5617,Sports and travel,2019-03-24,5,Regular Air,1.2385,Cash,WH3
319-74-2561,Electronic accessories,2019-02-21,3,Regular Air,4.732,Cash,WH1
549-03-9315,Fashion accessories,2019-02-12,8,Regular Air,4.7435,Ewallet,WH3
790-29-1172,Food and beverages,2019-03-10,3,ExpressAir,5.734,Credit card,WH3
239-36-3640,Electronic accessories,2019-01-31,6,ExpressAir,4.535,Ewallet,WH3
468-01-2051,Food and beverages,2019-03-06,7,Special Air  ,4.9664,Ewallet,WH3
389-25-3394,Electronic accessories,2019-02-17,5,Special Air  ,0.9448,Cash,WH2
279-62-1445,Fashion accessories,2019-02-21,1,Special Air  ,1.0032,Cash,WH2
213-72-6612,Food and beverages,2019-03-20,2,Regular Air,2.1625,Cash,WH1
746-68-6593,Sports and travel,2019-01-11,2,Special Air  ,6.9728,Credit card,WH2
836-82-5858,Health and beauty,2019-01-26,9,Regular Air,3.4685,Ewallet,WH3
583-72-1480,Electronic accessories,2019-01-31,4,ExpressAir,3.706,Ewallet,WH2
466-61-5506,Electronic accessories,2019-02-26,6,Special Air  ,7.256,Cash,WH3
721-86-6247,Home and lifestyle,2019-03-11,8,ExpressAir,6.342,Ewallet,WH1
289-65-5721,Fashion accessories,2019-01-26,2,Regular Air,4.0685,Cash,WH3
545-46-3100,Electronic accessories,2019-03-12,3,Regular Air,0.5295,Credit card,WH3
418-02-5978,Health and beauty,2019-02-11,9,Regular Air,4.2045,Cash,WH3
269-04-5750,Fashion accessories,2019-02-21,4,ExpressAir,7.382,Cash,WH3
157-13-5295,Health and beauty,2019-03-09,10,Special Air  ,4.1552,Ewallet,WH1
645-78-8093,Sports and travel,2019-01-20,2,Special Air  ,7.4512,Ewallet,WH1
211-30-9270,Health and beauty,2019-01-28,5,ExpressAir,1.741,Credit card,WH2
755-12-3214,Fashion accessories,2019-03-05,5,ExpressAir,4.422,Credit card,WH2
346-84-3103,Electronic accessories,2019-03-02,5,Regular Air,0.661,Cash,WH3
478-06-7835,Fashion accessories,2019-01-11,1,Regular Air,4.4845,Ewallet,WH1
540-11-4336,Food and beverages,2019-01-11,9,Special Air  ,1.9952,Credit card,WH1
448-81-5016,Health and beauty,2019-03-11,2,Special Air  ,4.7816,Credit card,WH1
142-72-4741,Fashion accessories,2019-02-28,2,Regular Air,4.66,Credit card,WH2
217-58-1179,Home and lifestyle,2019-01-05,4,ExpressAir,6.265,Cash,WH1
376-02-8238,Home and lifestyle,2019-02-02,8,ExpressAir,9.387,Credit card,WH3
530-90-9855,Home and lifestyle,2019-01-01,8,Special Air  ,3.8072,Cash,WH1
866-05-7563,Electronic accessories,2019-02-09,3,Regular Air,4.07,Cash,WH3
604-70-6476,Fashion accessories,2019-01-23,5,Special Air  ,1.4352,Ewallet,WH1
799-71-1548,Electronic accessories,2019-01-07,4,ExpressAir,7.772,Credit card,WH1
785-13-7708,Food and beverages,2019-01-14,7,Special Air  ,5.8448,Credit card,WH3
845-51-0542,Food and beverages,2019-02-02,9,ExpressAir,4.655,Ewallet,WH3
662-47-5456,Fashion accessories,2019-03-17,10,Special Air  ,2.8152,Credit card,WH2
883-17-4236,Sports and travel,2019-03-02,2,Regular Air,0.7195,Credit card,WH2
290-68-2984,Home and lifestyle,2019-03-16,4,Special Air  ,1.9,Cash,WH1
704-11-6354,Home and lifestyle,2019-01-06,8,Special Air  ,4.712,Cash,WH1
110-48-7033,Fashion accessories,2019-01-29,4,Regular Air,1.631,Cash,WH3
366-93-0948,Electronic accessories,2019-01-31,1,Special Air  ,5.308,Credit card,WH1
729-09-9681,Home and lifestyle,2019-02-05,6,ExpressAir,2.591,Ewallet,WH1
151-16-1484,Electronic accessories,2019-02-13,4,Special Air  ,2.58,Ewallet,WH1
380-94-4661,Electronic accessories,2019-02-07,4,Regular Air,3.297,Credit card,WH2
850-41-9669,Electronic accessories,2019-03-19,9,Special Air  ,6.0048,Ewallet,WH1
821-07-3596,Fashion accessories,2019-03-07,4,Regular Air,0.8225,Ewallet,WH2
655-85-5130,Fashion accessories,2019-03-13,4,Special Air  ,3.064,Cash,WH3
447-15-7839,Sports and travel,2019-02-09,10,Special Air  ,1.7792,Cash,WH1
154-74-7179,Sports and travel,2019-02-26,1,Special Air  ,4.356,Ewallet,WH3
253-12-6086,Sports and travel,2019-03-12,7,ExpressAir,9.84,Credit card,WH1
808-65-0703,Home and lifestyle,2019-03-14,4,Regular Air,1.7735,Credit card,WH2
571-94-0759,Food and beverages,2019-01-08,10,ExpressAir,7.46,Cash,WH3
144-51-6085,Home and lifestyle,2019-01-05,4,Special Air  ,5.6592,Credit card,WH1
731-14-2199,Home and lifestyle,2019-01-04,10,Special Air  ,2.8432,Ewallet,WH1
783-09-1637,Sports and travel,2019-03-06,5,Special Air  ,5.3944,Ewallet,WH3
687-15-1097,Health and beauty,2019-01-03,2,Regular Air,1.056,Cash,WH2
126-54-1082,Home and lifestyle,2019-01-07,9,ExpressAir,2.154,Credit card,WH1
633-91-1052,Home and lifestyle,2019-01-27,2,Regular Air,0.6015,Cash,WH1
477-24-6490,Health and beauty,2019-02-26,6,Regular Air,4.9855,Ewallet,WH3
566-19-5475,Fashion accessories,2019-01-07,7,ExpressAir,4.797,Cash,WH3
526-86-8552,Home and lifestyle,2019-01-07,10,Special Air  ,1.7456,Cash,WH2
376-56-3573,Fashion accessories,2019-02-02,4,Regular Air,4.771,Ewallet,WH2
537-72-0426,Fashion accessories,2019-03-20,10,ExpressAir,7.099,Cash,WH2
828-61-5674,Sports and travel,2019-03-20,10,ExpressAir,4.402,Credit card,WH1
136-08-6195,Home and lifestyle,2019-02-15,8,Special Air  ,5.5968,Credit card,WH1
523-38-0215,Home and lifestyle,2019-03-06,1,Regular Air,1.85,Credit card,WH2
490-29-1201,Sports and travel,2019-01-06,1,Special Air  ,1.2272,Cash,WH1
667-92-0055,Health and beauty,2019-03-04,6,Special Air  ,7.9864,Ewallet,WH1
565-17-3836,Health and beauty,2019-03-12,4,ExpressAir,4.767,Cash,WH1
498-41-1961,Health and beauty,2019-02-20,5,ExpressAir,6.668,Cash,WH3
593-95-4461,Home and lifestyle,2019-03-24,1,Regular Air,3.743,Cash,WH2
226-71-3580,Sports and travel,2019-01-31,9,ExpressAir,2.375,Cash,WH2
283-79-9594,Food and beverages,2019-01-25,7,Regular Air,2.4255,Credit card,WH3
430-60-3493,Home and lifestyle,2019-02-03,7,Special Air  ,7.5904,Cash,WH1
139-20-0155,Electronic accessories,2019-01-24,10,Special Air  ,3.224,Credit card,WH3
558-80-4082,Electronic accessories,2019-03-14,7,Regular Air,1.3925,Ewallet,WH2
278-97-7759,Electronic accessories,2019-02-18,1,Special Air  ,4.9984,Cash,WH1
316-68-6352,Food and beverages,2019-01-21,2,Special Air  ,2.9088,Cash,WH1
585-03-5943,Health and beauty,2019-03-13,10,ExpressAir,1.811,Ewallet,WH3
211-05-0490,Electronic accessories,2019-03-03,5,Regular Air,2.596,Cash,WH2
727-75-6477,Electronic accessories,2019-03-29,4,Regular Air,1.442,Cash,WH2
744-02-5987,Home and lifestyle,2019-01-10,6,Special Air  ,6.2704,Ewallet,WH1
307-83-9164,Home and lifestyle,2019-01-25,4,ExpressAir,6.001,Cash,WH1
779-06-0012,Home and lifestyle,2019-01-19,1,ExpressAir,8.861,Cash,WH2
446-47-6729,Fashion accessories,2019-01-02,2,Special Air  ,7.9856,Credit card,WH2
573-10-3877,Health and beauty,2019-03-12,1,ExpressAir,3.901,Credit card,WH3
735-06-4124,Food and beverages,2019-02-25,1,ExpressAir,4.861,Cash,WH2
439-54-7422,Electronic accessories,2019-03-18,4,Special Air  ,4.0952,Credit card,WH1
396-90-2219,Electronic accessories,2019-02-23,8,Regular Air,0.748,Cash,WH3
411-77-0180,Electronic accessories,2019-03-26,7,Regular Air,3.61,Ewallet,WH1
286-01-5402,Sports and travel,2019-03-30,7,Special Air  ,3.2184,Cash,WH1
803-17-8013,Home and lifestyle,2019-02-17,8,Regular Air,4.4395,Cash,WH1
512-98-1403,Electronic accessories,2019-03-21,3,ExpressAir,2.648,Ewallet,WH1
848-42-2560,Fashion accessories,2019-03-05,2,Special Air  ,6.5528,Cash,WH1
532-59-7201,Sports and travel,2019-01-31,6,Special Air  ,6.3944,Cash,WH3
181-94-6432,Fashion accessories,2019-02-05,2,ExpressAir,6.933,Ewallet,WH2
870-76-1733,Food and beverages,2019-02-01,5,Special Air  ,1.1384,Credit card,WH1
423-64-4619,Health and beauty,2019-03-07,9,ExpressAir,1.555,Cash,WH1
227-07-4446,Electronic accessories,2019-02-10,10,Special Air  ,6.2504,Cash,WH2
174-36-3675,Food and beverages,2019-02-14,2,Special Air  ,7.9496,Cash,WH2
428-83-5800,Food and beverages,2019-02-09,3,ExpressAir,2.108,Cash,WH2
