Invoice ID,warehouse_name,Shipment_mode,Product line,Unit price,Quantity,shipping cost,Date,Time,Payment,Unit cost,Rating,Customer_ID,Customer type
333-73-7901,WH2,ExpressAir,Health and beauty,54.92,8,5.492,3/23/2019,13:24,Ewallet,49.428,3.7,39,Normal
777-82-7220,WH3,Regular Air,Home and lifestyle,30.12,8,1.506,3/3/2019,13:01,Cash,27.108,4.2,40,Member
280-35-5823,WH3,Special Air  ,Home and lifestyle,86.72,1,6.9376,1/17/2019,18:45,Ewallet,78.048,4.6,41,Member
554-53-8700,WH2,ExpressAir,Home and lifestyle,56.11,2,5.611,2/2/2019,10:11,Cash,50.499,4.5,42,Member
354-25-5821,WH3,Special Air  ,Sports and travel,69.12,6,5.5296,2/8/2019,13:03,Cash,62.208,4.1,43,Member
228-96-1411,WH2,Regular Air,Food and beverages,98.7,8,4.935,3/4/2019,20:39,Cash,88.83,3.7,44,Member
617-15-4209,WH2,ExpressAir,Health and beauty,15.37,2,1.537,3/16/2019,19:47,Cash,13.833,4.6,45,Member
132-32-9879,WH3,Special Air  ,Electronic accessories,93.96,4,7.5168,3/9/2019,18:00,Cash,84.564,2.9,46,Member
370-41-7321,WH3,Regular Air,Health and beauty,56.69,9,2.8345,2/27/2019,17:24,Credit card,51.021,2.9,47,Member
727-46-3608,WH3,Special Air  ,Food and beverages,20.01,9,1.6008,2/6/2019,15:47,Ewallet,18.009,4.5,48,Member
669-54-1719,WH3,ExpressAir,Electronic accessories,18.93,6,1.893,2/10/2019,12:45,Credit card,17.037,2.7,49,Member
574-22-5561,WH2,Special Air  ,Fashion accessories,82.63,10,6.6104,3/19/2019,17:08,Ewallet,74.367,4.6,50,Member
326-78-5178,WH2,ExpressAir,Food and beverages,91.4,7,9.14,2/3/2019,10:19,Cash,82.26,3.7,51,Member
162-48-8011,WH1,Special Air  ,Food and beverages,44.59,5,3.5672,2/10/2019,15:10,Cash,40.131,4.7,52,Member
616-24-2851,WH3,ExpressAir,Fashion accessories,17.87,4,1.787,3/22/2019,14:42,Ewallet,16.083,2.6,53,Member
778-71-5554,WH2,Regular Air,Fashion accessories,15.43,1,0.7715,1/25/2019,15:46,Credit card,13.887,3.9,54,Member
242-55-6721,WH3,Regular Air,Home and lifestyle,16.16,2,0.808,3/7/2019,11:49,Ewallet,14.544,4.2,55,Normal
399-46-5918,WH2,ExpressAir,Electronic accessories,85.98,8,8.598,2/28/2019,19:01,Cash,77.382,3,56,Normal
106-35-6779,WH1,Regular Air,Home and lifestyle,44.34,2,2.217,3/27/2019,11:26,Cash,39.906,4.7,57,Member
635-40-6220,WH1,Regular Air,Health and beauty,89.6,8,4.48,2/7/2019,11:28,Ewallet,80.64,4.4,58,Normal
817-48-8732,WH1,Regular Air,Home and lifestyle,72.35,10,3.6175,1/20/2019,15:55,Cash,65.115,4.2,59,Member
120-06-4233,WH2,Special Air  ,Electronic accessories,30.61,6,2.4488,3/12/2019,20:36,Cash,27.549,4.6,60,Normal
285-68-5083,WH2,Special Air  ,Sports and travel,24.74,3,1.9792,2/15/2019,17:47,Credit card,22.266,4,61,Member
803-83-5989,WH2,ExpressAir,Home and lifestyle,55.73,6,5.573,2/24/2019,10:55,Ewallet,50.157,4.7,62,Normal
347-34-2234,WH3,Regular Air,Sports and travel,55.07,9,2.7535,2/3/2019,13:40,Ewallet,49.563,3.8,63,Member
199-75-8169,WH1,ExpressAir,Sports and travel,15.81,10,1.581,3/6/2019,12:27,Credit card,14.229,2.7,64,Member
853-23-2453,WH3,ExpressAir,Health and beauty,75.74,4,7.574,2/14/2019,14:35,Cash,68.166,4.8,65,Member
877-22-3308,WH1,Special Air  ,Health and beauty,15.87,10,1.2696,3/13/2019,16:40,Cash,14.283,4.8,66,Member
838-78-4295,WH2,Special Air  ,Health and beauty,33.47,2,2.6776,2/10/2019,15:43,Ewallet,30.123,4.7,67,Normal
109-28-2512,WH3,ExpressAir,Fashion accessories,97.61,6,9.761,1/7/2019,15:01,Ewallet,87.849,4.4,68,Member
232-11-3025,WH1,Regular Air,Sports and travel,78.77,10,3.9385,1/24/2019,10:04,Cash,70.893,3.9,69,Normal
382-03-4532,WH1,Special Air  ,Health and beauty,18.33,1,1.4664,2/2/2019,18:50,Cash,16.497,4.4,70,Member
393-65-2792,WH2,Special Air  ,Food and beverages,89.48,10,7.1584,1/6/2019,12:46,Credit card,80.532,4.2,71,Normal
796-12-2025,WH2,ExpressAir,Fashion accessories,62.12,10,6.212,2/11/2019,16:19,Cash,55.908,2.9,72,Normal
510-95-6347,WH3,ExpressAir,Food and beverages,48.52,3,4.852,3/5/2019,18:17,Ewallet,43.668,2.9,73,Member
841-35-6630,WH2,Regular Air,Electronic accessories,75.91,6,3.7955,3/9/2019,18:21,Cash,68.319,2.7,74,Normal
287-21-9091,WH1,ExpressAir,Home and lifestyle,74.67,9,7.467,1/22/2019,10:55,Ewallet,67.203,4.5,75,Normal
732-94-0499,WH2,ExpressAir,Electronic accessories,41.65,10,4.165,1/13/2019,17:04,Credit card,37.485,2.7,76,Normal
263-10-3913,WH2,Regular Air,Fashion accessories,49.04,9,2.452,1/9/2019,14:20,Credit card,44.136,4.2,77,Member
381-20-0914,WH1,Regular Air,Fashion accessories,20.01,9,1.0005,1/12/2019,15:48,Credit card,18.009,3.3,78,Member
829-49-1914,WH2,Special Air  ,Food and beverages,78.31,10,6.2648,3/5/2019,16:24,Ewallet,70.479,4.7,79,Member
756-01-7507,WH2,ExpressAir,Health and beauty,20.38,5,2.038,1/22/2019,18:56,Cash,18.342,2.6,80,Normal
870-72-4431,WH2,ExpressAir,Health and beauty,99.19,6,9.919,1/21/2019,14:42,Credit card,89.271,3.3,81,Normal
847-38-7188,WH3,ExpressAir,Food and beverages,96.68,3,9.668,1/26/2019,19:56,Ewallet,87.012,2.6,82,Normal
480-63-2856,WH2,Regular Air,Food and beverages,19.25,8,0.9625,1/23/2019,18:37,Ewallet,17.325,4,83,Normal
787-56-0757,WH2,Special Air  ,Food and beverages,80.36,4,6.4288,2/23/2019,18:45,Credit card,72.324,4.1,84,Member
360-39-5055,WH2,Regular Air,Sports and travel,48.91,5,2.4455,3/9/2019,10:17,Cash,44.019,4.4,85,Member
730-50-9884,WH2,Regular Air,Sports and travel,83.06,7,4.153,3/5/2019,14:31,Ewallet,74.754,4.5,86,Normal
362-58-8315,WH2,Special Air  ,Fashion accessories,76.52,5,6.1216,3/25/2019,10:23,Cash,68.868,3.7,87,Normal
633-44-8566,WH1,Special Air  ,Food and beverages,49.38,7,3.9504,3/27/2019,20:35,Credit card,44.442,3.7,88,Member
504-35-8843,WH1,Special Air  ,Sports and travel,42.47,1,3.3976,1/2/2019,16:57,Cash,38.223,3.5,89,Normal
318-68-5053,WH3,ExpressAir,Health and beauty,76.99,6,7.699,2/27/2019,17:55,Cash,69.291,3.6,90,Normal
565-80-5980,WH2,ExpressAir,Home and lifestyle,47.38,4,4.738,1/23/2019,10:25,Cash,42.642,2.9,91,Member
225-32-0908,WH2,ExpressAir,Sports and travel,44.86,10,4.486,1/26/2019,19:54,Ewallet,40.374,4.6,92,Normal
873-51-0671,WH1,ExpressAir,Sports and travel,21.98,7,2.198,1/10/2019,16:42,Ewallet,19.782,4.4,93,Member
152-08-9985,WH3,Special Air  ,Health and beauty,64.36,9,5.1488,3/12/2019,12:09,Credit card,57.924,4.5,94,Member
512-91-0811,WH2,Regular Air,Health and beauty,89.75,1,4.4875,2/6/2019,20:05,Credit card,80.775,4.6,95,Normal
594-34-4444,WH1,Regular Air,Electronic accessories,97.16,1,4.858,3/8/2019,20:38,Ewallet,87.444,3.8,96,Normal
766-85-7061,WH3,Regular Air,Health and beauty,87.87,10,4.3935,3/29/2019,10:25,Ewallet,79.083,3.6,97,Normal
871-39-9221,WH2,Special Air  ,Electronic accessories,12.45,6,0.996,2/9/2019,13:11,Cash,11.205,4.8,98,Normal
865-92-6136,WH1,Special Air  ,Food and beverages,52.75,3,4.22,3/23/2019,10:16,Ewallet,47.475,2.6,99,Normal
733-01-9107,WH3,Special Air  ,Home and lifestyle,82.7,6,6.616,3/5/2019,18:14,Cash,74.43,3.7,100,Normal
163-56-7055,WH2,ExpressAir,Fashion accessories,48.71,1,4.871,3/26/2019,19:20,Cash,43.839,2.7,101,Member
189-98-2939,WH2,ExpressAir,Fashion accessories,78.55,9,7.855,3/1/2019,13:22,Cash,70.695,4.6,102,Normal
551-21-3069,WH2,Special Air  ,Electronic accessories,23.07,9,1.8456,2/1/2019,11:27,Cash,20.763,4.8,103,Normal
212-62-1842,WH1,Regular Air,Food and beverages,58.26,6,2.913,3/28/2019,16:44,Cash,52.434,4,104,Normal
716-39-1409,WH3,Regular Air,Health and beauty,30.35,7,1.5175,3/19/2019,18:19,Cash,27.315,4.4,105,Normal
704-48-3927,WH1,Regular Air,Electronic accessories,88.67,10,4.4335,1/12/2019,14:50,Ewallet,79.803,3.6,106,Member
628-34-3388,WH2,Special Air  ,Fashion accessories,27.38,6,2.1904,1/5/2019,20:54,Credit card,24.642,3.7,107,Normal
630-74-5166,WH1,ExpressAir,Sports and travel,62.13,6,6.213,3/22/2019,20:19,Cash,55.917,3.1,108,Normal
588-01-7461,WH2,Regular Air,Food and beverages,33.98,9,1.699,3/24/2019,10:43,Cash,30.582,3.4,109,Normal
861-77-0145,WH2,Special Air  ,Electronic accessories,81.97,10,6.5576,3/3/2019,14:30,Cash,73.773,2.6,110,Member
479-26-8945,WH3,ExpressAir,Sports and travel,16.49,2,1.649,2/5/2019,11:32,Ewallet,14.841,4,111,Member
210-67-5886,WH2,ExpressAir,Health and beauty,98.21,3,9.821,2/5/2019,10:41,Credit card,88.389,5,112,Member
227-78-1148,WH3,ExpressAir,Fashion accessories,72.84,7,7.284,2/15/2019,12:44,Cash,65.556,4.3,113,Normal
645-44-1170,WH1,ExpressAir,Home and lifestyle,58.07,9,5.807,1/19/2019,20:07,Ewallet,52.263,3.1,114,Member
237-01-6122,WH2,Regular Air,Home and lifestyle,80.79,9,4.0395,2/1/2019,20:31,Credit card,72.711,3.7,115,Member
225-98-1496,WH2,Special Air  ,Fashion accessories,27.02,3,2.1616,3/2/2019,13:01,Credit card,24.318,3.8,116,Normal
291-32-1427,WH3,Special Air  ,Fashion accessories,21.94,5,1.7552,3/5/2019,12:29,Ewallet,19.746,3.4,117,Member
659-65-8956,WH3,Special Air  ,Fashion accessories,51.36,1,4.1088,1/16/2019,15:26,Ewallet,46.224,4.6,118,Member
642-32-2990,WH1,ExpressAir,Food and beverages,10.96,10,1.096,2/2/2019,20:48,Ewallet,9.864,4.8,119,Normal
378-24-2715,WH3,ExpressAir,Home and lifestyle,53.44,2,5.344,1/20/2019,20:38,Ewallet,48.096,4.3,120,Normal
638-60-7125,WH1,ExpressAir,Electronic accessories,99.56,8,9.956,2/14/2019,17:03,Credit card,89.604,4,121,Normal
659-36-1684,WH2,Regular Air,Sports and travel,57.12,7,2.856,1/12/2019,12:02,Credit card,51.408,4.2,122,Member
219-22-9386,WH3,Special Air  ,Sports and travel,99.96,9,7.9968,3/9/2019,17:26,Credit card,89.964,4.8,123,Member
336-78-2147,WH2,Special Air  ,Home and lifestyle,63.91,8,5.1128,3/13/2019,19:52,Credit card,57.519,3.1,124,Member
268-27-6179,WH3,Regular Air,Fashion accessories,56.47,8,2.8235,3/9/2019,14:57,Ewallet,50.823,3.1,125,Member
668-90-8900,WH1,ExpressAir,Home and lifestyle,93.69,7,9.369,3/10/2019,18:44,Credit card,84.321,3.6,126,Normal
870-54-3162,WH1,Regular Air,Sports and travel,32.25,5,1.6125,1/27/2019,13:26,Cash,29.025,3.9,127,Normal
189-08-9157,WH2,Regular Air,Fashion accessories,31.73,9,1.5865,1/8/2019,16:17,Credit card,28.557,4.8,128,Normal
663-86-9076,WH2,Special Air  ,Food and beverages,68.54,8,5.4832,1/8/2019,15:57,Ewallet,61.686,4.7,129,Member
549-84-7482,WH3,ExpressAir,Sports and travel,90.28,9,9.028,2/8/2019,11:15,Ewallet,81.252,4.2,130,Normal
191-10-6171,WH3,Special Air  ,Fashion accessories,39.62,7,3.1696,1/25/2019,13:18,Cash,35.658,3.7,131,Normal
802-70-5316,WH1,Special Air  ,Sports and travel,92.13,6,7.3704,3/6/2019,20:34,Cash,82.917,3.9,132,Member
695-51-0018,WH3,Regular Air,Sports and travel,34.84,4,1.742,2/10/2019,18:36,Cash,31.356,4.7,133,Normal
590-83-4591,WH3,Regular Air,Electronic accessories,87.45,6,4.3725,2/17/2019,14:40,Credit card,78.705,2.5,134,Member
483-71-1164,WH2,Regular Air,Health and beauty,81.3,6,4.065,3/8/2019,16:43,Ewallet,73.17,4.9,135,Normal
597-78-7908,WH2,Regular Air,Fashion accessories,90.22,3,4.511,2/18/2019,19:39,Cash,81.198,4.1,136,Normal
700-81-1757,WH1,Special Air  ,Electronic accessories,26.31,5,2.1048,1/18/2019,20:59,Credit card,23.679,3.3,137,Normal
354-39-5160,WH1,ExpressAir,Home and lifestyle,34.42,6,3.442,2/18/2019,15:39,Cash,30.978,4.7,138,Member
241-72-9525,WH3,Special Air  ,Sports and travel,51.91,10,4.1528,2/16/2019,12:21,Cash,46.719,4.4,139,Normal
575-30-8091,WH1,ExpressAir,Sports and travel,72.5,8,7.25,3/16/2019,19:25,Ewallet,65.25,3.8,140,Normal
731-81-9469,WH2,ExpressAir,Sports and travel,89.8,10,8.98,1/23/2019,13:00,Credit card,80.82,3.9,141,Member
280-17-4359,WH2,ExpressAir,Health and beauty,90.5,10,9.05,1/25/2019,13:48,Cash,81.45,4.9,142,Member
338-65-2210,WH2,Special Air  ,Health and beauty,68.6,10,5.488,2/5/2019,19:57,Cash,61.74,3.1,143,Member
488-25-4221,WH2,ExpressAir,Food and beverages,30.41,1,3.041,2/22/2019,10:36,Credit card,27.369,2.7,144,Member
239-10-7476,WH1,Special Air  ,Home and lifestyle,77.95,6,6.236,1/21/2019,16:37,Ewallet,70.155,3.2,145,Normal
458-41-1477,WH2,ExpressAir,Health and beauty,46.26,6,4.626,3/8/2019,17:11,Credit card,41.634,4.5,146,Normal
685-64-1609,WH1,ExpressAir,Fashion accessories,30.14,10,3.014,2/10/2019,12:28,Ewallet,27.126,4,147,Member
568-90-5112,WH2,Regular Air,Health and beauty,66.14,4,3.307,3/19/2019,12:46,Credit card,59.526,3.5,148,Normal
262-47-2794,WH3,ExpressAir,Home and lifestyle,71.86,8,7.186,3/6/2019,15:07,Credit card,64.674,2.6,149,Member
238-49-0436,WH1,Regular Air,Health and beauty,32.46,8,1.623,3/27/2019,13:48,Credit card,29.214,3.2,150,Normal
608-96-3517,WH3,ExpressAir,Fashion accessories,91.54,4,9.154,3/23/2019,19:20,Credit card,82.386,4.9,151,Member
584-86-7256,WH2,Special Air  ,Sports and travel,34.56,7,2.7648,3/11/2019,16:07,Credit card,31.104,4.5,152,Member
746-94-0204,WH1,Regular Air,Fashion accessories,83.24,9,4.162,1/29/2019,11:56,Credit card,74.916,4.3,153,Normal
214-17-6927,WH2,Special Air  ,Food and beverages,16.48,6,1.3184,2/7/2019,18:23,Ewallet,14.832,3.2,154,Normal
400-89-4171,WH2,Special Air  ,Sports and travel,80.97,8,6.4776,1/28/2019,13:05,Cash,72.873,3.6,155,Normal
782-95-9291,WH1,Special Air  ,Food and beverages,92.29,5,7.3832,2/20/2019,15:55,Credit card,83.061,4.3,156,Member
279-74-2924,WH3,Regular Air,Electronic accessories,72.17,1,3.6085,1/4/2019,19:40,Cash,64.953,4,157,Member
307-85-2293,WH3,Regular Air,Home and lifestyle,50.28,5,2.514,3/7/2019,13:58,Ewallet,45.252,3,158,Normal
743-04-1105,WH3,Regular Air,Health and beauty,97.22,9,4.861,3/30/2019,14:43,Ewallet,87.498,4.1,159,Member
423-57-2993,WH3,ExpressAir,Sports and travel,93.39,6,9.339,3/27/2019,19:18,Ewallet,84.051,3.8,160,Normal
894-41-5205,WH2,Special Air  ,Food and beverages,43.18,8,3.4544,1/19/2019,19:39,Credit card,38.862,4.6,161,Normal
275-28-0149,WH1,Regular Air,Sports and travel,63.69,1,3.1845,2/25/2019,16:21,Cash,57.321,3,162,Normal
101-17-6199,WH1,Regular Air,Food and beverages,45.79,7,2.2895,3/13/2019,19:44,Credit card,41.211,3,163,Normal
423-80-0988,WH2,Special Air  ,Sports and travel,76.4,2,6.112,1/30/2019,19:42,Ewallet,68.76,3.4,164,Normal
548-46-9322,WH3,Regular Air,Food and beverages,39.9,10,1.995,2/20/2019,15:24,Credit card,35.91,2.6,165,Normal
505-02-0892,WH3,Special Air  ,Health and beauty,42.57,8,3.4056,2/25/2019,14:12,Ewallet,38.313,2.8,166,Member
234-65-2137,WH2,Special Air  ,Home and lifestyle,95.58,10,7.6464,1/16/2019,13:32,Cash,86.022,4,167,Normal
687-47-8271,WH1,ExpressAir,Fashion accessories,98.98,10,9.898,2/8/2019,16:20,Credit card,89.082,4,168,Normal
796-32-9050,WH1,ExpressAir,Food and beverages,51.28,6,5.128,1/19/2019,16:31,Cash,46.152,3,169,Normal
105-31-1824,WH1,Special Air  ,Sports and travel,69.52,7,5.5616,2/1/2019,15:10,Credit card,62.568,3.3,170,Member
249-42-3782,WH1,Regular Air,Health and beauty,70.01,5,3.5005,1/3/2019,11:36,Ewallet,63.009,2.6,171,Normal
316-55-4634,WH3,Regular Air,Food and beverages,80.05,5,4.0025,1/26/2019,12:45,Credit card,72.045,3.6,172,Member
733-33-4967,WH2,Special Air  ,Electronic accessories,20.85,8,1.668,3/3/2019,19:17,Cash,18.765,3.9,173,Normal
608-27-6295,WH3,ExpressAir,Electronic accessories,52.89,6,5.289,1/19/2019,17:34,Credit card,47.601,3.4,174,Member
414-12-7047,WH3,Special Air  ,Food and beverages,19.79,8,1.5832,1/18/2019,12:04,Ewallet,17.811,3.5,175,Normal
827-26-2100,WH1,Special Air  ,Home and lifestyle,33.84,9,2.7072,3/21/2019,16:21,Ewallet,30.456,2.8,176,Member
175-54-2529,WH1,Special Air  ,Food and beverages,22.17,8,1.7736,3/3/2019,17:01,Credit card,19.953,2.7,177,Member
139-52-2867,WH2,Special Air  ,Fashion accessories,22.51,7,1.8008,2/13/2019,10:50,Credit card,20.259,3.7,178,Normal
407-63-8975,WH1,Special Air  ,Food and beverages,73.88,6,5.9104,3/23/2019,19:16,Ewallet,66.492,4.3,179,Normal
342-65-4817,WH2,Regular Air,Health and beauty,86.8,3,4.34,1/28/2019,16:47,Ewallet,78.12,4.9,180,Member
130-98-8941,WH2,Special Air  ,Fashion accessories,64.26,7,5.1408,2/9/2019,10:00,Cash,57.834,3.3,181,Normal
434-83-9547,WH2,Special Air  ,Food and beverages,38.47,8,3.0776,1/23/2019,11:51,Cash,34.623,4.7,182,Member
851-28-6367,WH1,Special Air  ,Sports and travel,15.5,10,1.24,3/23/2019,10:55,Ewallet,13.95,2.8,183,Member
824-88-3614,WH2,Regular Air,Health and beauty,34.31,8,1.7155,1/25/2019,15:00,Ewallet,30.879,3.6,184,Normal
586-25-0848,WH1,Regular Air,Sports and travel,12.34,7,0.617,3/4/2019,11:19,Credit card,11.106,3,185,Normal
895-66-0685,WH3,ExpressAir,Food and beverages,18.08,3,1.808,3/5/2019,19:46,Ewallet,16.272,4.5,186,Member
305-14-0245,WH3,Regular Air,Home and lifestyle,94.49,8,4.7245,3/3/2019,19:00,Ewallet,85.041,2.9,187,Member
732-04-5373,WH3,ExpressAir,Home and lifestyle,46.47,4,4.647,2/8/2019,10:53,Cash,41.823,3.3,188,Member
400-60-7251,WH1,Regular Air,Home and lifestyle,74.07,1,3.7035,2/10/2019,12:50,Ewallet,66.663,3.1,189,Normal
593-65-1552,WH2,Special Air  ,Home and lifestyle,69.81,4,5.5848,1/28/2019,20:50,Credit card,62.829,4.4,190,Normal
284-34-9626,WH3,Regular Air,Home and lifestyle,77.04,3,3.852,2/11/2019,10:39,Credit card,69.336,3,191,Normal
437-58-8131,WH3,Special Air  ,Fashion accessories,73.52,2,5.8816,1/15/2019,13:41,Ewallet,66.168,3.9,192,Normal
286-43-6208,WH2,Special Air  ,Food and beverages,87.8,9,7.024,3/16/2019,19:08,Cash,79.02,2.9,193,Normal
641-43-2399,WH3,Special Air  ,Home and lifestyle,25.55,4,2.044,1/26/2019,20:23,Ewallet,22.995,3,194,Normal
831-07-6050,WH1,Regular Air,Electronic accessories,32.71,5,1.6355,3/19/2019,11:30,Credit card,29.439,3.1,195,Normal
556-86-3144,WH2,Regular Air,Fashion accessories,74.29,1,3.7145,1/13/2019,19:30,Cash,66.861,4.3,196,Member
848-24-9445,WH2,ExpressAir,Health and beauty,43.7,2,4.37,3/26/2019,18:03,Cash,39.33,3.9,197,Member
856-22-8149,WH1,ExpressAir,Home and lifestyle,25.29,1,2.529,3/23/2019,10:13,Ewallet,22.761,3.2,198,Normal
699-01-4164,WH2,ExpressAir,Health and beauty,41.5,4,4.15,3/12/2019,19:58,Credit card,37.35,4.8,199,Normal
420-11-4919,WH2,ExpressAir,Food and beverages,71.39,5,7.139,2/17/2019,19:57,Credit card,64.251,3.8,200,Member
606-80-4905,WH2,Special Air  ,Sports and travel,19.15,6,1.532,1/29/2019,10:01,Credit card,17.235,3.3,201,Member
542-41-0513,WH3,Special Air  ,Electronic accessories,57.49,4,4.5992,3/15/2019,11:57,Cash,51.741,4.3,202,Member
426-39-2418,WH2,ExpressAir,Electronic accessories,61.41,7,6.141,1/14/2019,10:02,Cash,55.269,2.7,203,Normal
875-46-5808,WH3,ExpressAir,Health and beauty,25.9,10,2.59,2/6/2019,14:51,Ewallet,23.31,3.2,204,Member
394-43-4238,WH3,Special Air  ,Home and lifestyle,17.77,5,1.4216,2/15/2019,12:42,Credit card,15.993,4,205,Member
749-24-1565,WH1,Special Air  ,Health and beauty,23.03,9,1.8424,1/3/2019,12:02,Ewallet,20.727,3,206,Normal
672-51-8681,WH2,Special Air  ,Electronic accessories,66.65,9,5.332,1/4/2019,18:19,Credit card,59.985,4.2,207,Member
263-87-5680,WH2,Special Air  ,Home and lifestyle,28.53,10,2.2824,3/18/2019,17:38,Ewallet,25.677,2.9,208,Member
573-58-9734,WH3,Special Air  ,Fashion accessories,30.37,3,2.4296,3/28/2019,13:41,Ewallet,27.333,4.1,209,Normal
817-69-8206,WH3,Regular Air,Electronic accessories,99.73,9,4.9865,3/2/2019,19:42,Credit card,89.757,3.2,210,Normal
888-02-0338,WH1,Special Air  ,Electronic accessories,26.23,9,2.0984,1/25/2019,20:24,Ewallet,23.607,3,211,Normal
677-11-0152,WH2,ExpressAir,Food and beverages,93.26,9,9.326,1/16/2019,18:08,Cash,83.934,4.2,212,Normal
